id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Harbor,Marina Vale,folk,nostalgic,0.54,96,0.72,0.63,0.67
12,Golden Hour Drive,Kite & Pine,disco,joyful,0.88,124,0.91,0.84,0.12
13,Winter Orchard,The Hollow Pines,folk,dreamy,0.31,76,0.57,0.48,0.81
14,Neon Alley,Atlas Rhythm,hip hop,confident,0.84,108,0.74,0.78,0.09
15,After the Rain,June Harbor,classical,melancholic,0.22,68,0.25,0.30,0.95
16,Open Window,The Blue Hour,indie folk,romantic,0.58,98,0.79,0.67,0.62
17,City of Sparks,Ember Lane,house,energetic,0.90,126,0.82,0.88,0.03
18,Quiet Harbor,North & West,ambient,dreamy,0.27,64,0.63,0.39,0.90
